"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"coyote","AP18","R08-DAP1","2018-03-18","2018-05-14","chil",-88.07916556,41.87515101,4326,NA,NA,0,1,0,NA,NA,NA,NA
"coyote","AP18","R08-PAP1","2018-03-18","2018-05-14","chil",-88.05904063,41.8561811,4326,NA,NA,0,1,0,0,1,NA,NA
"coyote","AP18","R08-VLG1","2018-03-18","2018-05-14","chil",-88.07091278,41.8521756,4326,NA,NA,0,1,0,1,0,NA,NA
"coyote","AP18","R08-WBK1","2018-03-18","2018-05-14","chil",-88.06135623,41.84175796,4326,NA,NA,1,1,1,1,0,NA,NA
"coyote","AP18","R09-BLW1","2018-03-18","2018-05-14","chil",-88.14724262,41.86309312,4326,NA,NA,1,1,0,1,1,NA,NA
"coyote","AP18","R09-CTG0","2018-03-18","2018-05-14","chil",-88.16212923,41.85014493,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R09-LIM0","2018-03-18","2018-05-14","chil",-88.12305588,41.87106444,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","R09-SMI1","2018-03-18","2018-05-14","chil",-88.11233994,41.85279958,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R10-FRM1","2018-03-18","2018-05-14","chil",-88.2632106,41.81899974,4326,NA,NA,1,0,0,0,0,NA,NA
"coyote","AP18","R10-FRM2","2018-03-18","2018-05-14","chil",-88.25455583,41.83329816,4326,NA,NA,0,0,1,NA,NA,NA,NA
"coyote","AP18","R10-WCP0","2018-03-18","2018-05-14","chil",-88.2299927,41.88948618,4326,NA,NA,0,0,1,0,0,NA,NA
"coyote","AP18","R10-WDW0","2018-03-18","2018-05-14","chil",-88.19222479,41.86593136,4326,NA,NA,0,1,0,0,0,NA,NA
"coyote","AP18","S02-BNS1","2018-03-18","2018-05-14","chil",-87.59306926,41.81198992,4326,NA,NA,0,0,1,0,0,NA,NA
"coyote","AP18","S02-BRI1","2018-03-18","2018-05-14","chil",-87.69796061,41.829108,4326,NA,NA,0,0,1,0,0,NA,NA
"coyote","AP18","S02-PIP1","2018-03-18","2018-05-14","chil",-87.73000452,41.83325462,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","S02-PLP1","2018-03-18","2018-05-14","chil",-87.64874972,41.84407767,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","S02-TNW1","2018-03-18","2018-05-14","chil",-87.60065692,41.82389815,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","S03-JKP2","2018-03-18","2018-05-14","chil",-87.58010698,41.78574236,4326,NA,NA,1,0,1,0,0,NA,NA
"coyote","AP18","S03-LCP1","2018-03-18","2018-05-14","chil",-87.75085536,41.81401666,4326,NA,NA,1,0,0,0,1,NA,NA
"coyote","AP18","S03-PSP1","2018-03-18","2018-05-14","chil",-87.73172978,41.7880381,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","S03-VIP1","2018-03-18","2018-05-14","chil",-87.7478189,41.80241759,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","S03-WAP1","2018-03-18","2018-05-14","chil",-87.71888828,41.81169474,4326,NA,NA,0,1,0,0,0,NA,NA
"coyote","AP18","S04-HAP1","2018-03-18","2018-05-14","chil",-87.77935426,41.7803347,4326,NA,NA,0,0,0,0,0,NA,NA
