Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
SLJ,NA,19H 5M 0S,19:05,Avahi laniger,3,8,8,20,368591,8309765,-15.285147,49.776119,3,383,1650,V,Ridge,SF,Stop,NA,247,0
SLJ,02-03-11,19H 3M 0S,19:03,Avahi laniger,1,15,15,220,368680,8309798,-15.284854,49.77695,3,356,1750,V,Ridge,SF,Stop,NA,248,0
SLJ,NA,19H 55M 0S,19:55,Avahi laniger,1,8,8,20,368536,8308451,-15.297022,49.775538,3,464,1200,W,Ridge,SF,Stop,NA,249,0
SLJ,02-02-11,19H 45M 0S,19:45,Avahi laniger,1,10,10,320,368500,8308405,-15.297436,49.7752,4,421,1275,W,Ridge,SF,Stop,NA,250,0
SLJ,02-02-11,19H 18M 0S,19:18,Avahi laniger,2,8,8,20,368447,8308341,-15.298012,49.774704,6,389,1375,W,Ridge,SF,Stop,NA,251,0
SLJ,NA,19H 25M 0S,19:25,Cheirogaleus major,1,5,5,340,368380,8309643,-15.286239,49.774148,5,428,1300,V,Ridge,SF,Stop,NA,252,0
SLJ,NA,19H 20M 0S,19:20,Eulemur albifrons,2,12,12,320,368609,8309768,-15.285121,49.776287,4,371,1600,V,Ridge,SF,Stop,NA,253,0
SOA,16-04-11,20H 38M 0S,20:38,Cheirogaleus major,1,6,6,200,333243,8347144,-14.945282,49.449439,4,1092,200,C,Ridge,SF,Stop,See,254,0
SOA,12-04-11,9H 48M 0S,09:48,Eulemur albifrons,12,11,11,40,333460,8347446,-14.942566,49.451475,3,1140,700,C,Ridge,SF,Jumping,See,255,0
SOA,16-04-11,9H 15M 0S,09:15,Eulemur albifrons,5,12,12,120,333251,8347153,-14.945201,49.449514,4,1109,200,C,Ridge,SF,Jumping,See,256,0
SOA,26-04-11,20H 15M 0S,20:15,Eulemur albifrons,1,8,8,300,333904,8346003,-14.955636,49.45551,4,1107,1675,D,Ridge,SF,Stop,See,257,0
SOA,04-05-11,9H 25M 0S,09:25,Eulemur albifrons,5,10,10,160,334140,8346723,-14.949144,49.45775,4,1138,600,D,Ridge,SF,Stop,See,258,0
SOA,08-05-11,19H 5M 0S,19:05,Eulemur albifrons,2,8,8,40,334132,8346735,-14.949035,49.457676,3,1132,600,D,Ridge,SF,Stop,See,259,0
SOA,13-04-11,8H 40M 0S,08:40,Indri indri,1,5,5,60,333238,8347146,-14.945264,49.449392,3,1090,200,C,Ridge,SF,Jumping,See,260,0
SOA,11-04-11,20H 4M 0S,20:04,Microcebus rufus,1,3,3,160,333444,8347387,-14.943099,49.451323,3,1132,600,C,Ridge,SF,Stop,See,261,1
SOA,12-04-11,20H 12M 0S,20:12,Microcebus rufus,2,7,7,300,333459,8347422,-14.942783,49.451465,4,1140,650,C,Ridge,SF,Stop,See,262,1
SOA,13-04-11,20H 55M 0S,20:55,Microcebus rufus,1,4,4,260,333210,8347093,-14.945741,49.449129,4,1086,75,C,Ridge,SF,Stop,See,263,1
SOA,16-04-11,20H 10M 0S,20:10,Microcebus rufus,5,5,5,200,333467,8347409,-14.942901,49.451538,4,1147,625,C,Ridge,SF,Stop,See,264,1
SOA,26-04-11,18H 49M 0S,18:49,Microcebus rufus,1,5,5,240,334145,8346740,-14.94899,49.457798,4,1124,600,D,Ridge,SF,Jumping,See,265,1
SOA,19-04-11,20H 25M 0S,20:25,Varecia variegata,2,20,20,40,334138,8346721,-14.949162,49.457731,4,1157,600,D,Ridge,SF,Stop,See,266,0
VIN,03-07-11,18H 37M 0S,18:37,Avahi laniger,1,6,6,80,336605,8289384,-15.467519,49.476947,4,493,475,I,Ridge,SF,Stop,See,267,0
