Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
SOA,04-04-11,19:08,Eulemur albifrons,2,14,7,120,333149,8345321,-14.961752,49.448446,4,971,925,B,Slope,RF,Stop,Seen
SOA,07-04-11,09:05,Eulemur albifrons,9,10,7,340,333226,8345207,-14.962788,49.449155,4,989,725,B,Slope,RF,Jumping,Seen
SOA,11-04-11,18:28,Eulemur albifrons,2,20,7,320,334174,8348049,-14.937161,49.458152,5,1214,1925,C,Slope,RF,Stop,Seen
SOA,14-04-11,18:37,Eulemur albifrons,10,12,7,340,334183,8348075,-14.936927,49.458237,4,1206,1950,C,Slope,RF,Stop,Seen
SOA,26-04-11,19:25,Eulemur albifrons,2,20,10,240,334163,8346387,-14.952182,49.457942,4,1145,1100,D,Slope,RF,Stop,Seen
SOA,29-04-11,08:32,Eulemur albifrons,2,10,12,120,333796,8346008,-14.955584,49.454506,5,1085,1825,D,Slope,RF,Jumping,Seen
SOA,01-04-11,18:59,Eulemur rubriventer,2,14,10,160,333242,8345174,-14.963087,49.449301,4,994,725,B,Slope,RF,Stop,Seen
SOA,16-04-11,11:10,Eulemur rubriventer,6,6,5,60,333703,8347684,-14.940431,49.45375,3,1143,1175,C,Slope,RF,Stop,Seen
SOA,16-04-11,19:45,Eulemur rubriventer,6,4,10,140,333612,8347531,-14.941808,49.452894,4,1112,925,C,Slope,RF,Stop,Seen
SOA,13-04-11,18:42,Microcebus rufus*,1,5,5,100,334064,8348003,-14.93757,49.457126,5,1201,1825,C,Slope,RF,Stop,Seen
SOA,13-04-11,20:04,Microcebus rufus*,1,4,7,200,333609,8347542,-14.941708,49.452867,4,1119,975,C,Slope,RF,Stop,Seen
SOA,13-04-11,18:28,Varecia variegata,4,20,8,260,334215,8348080,-14.936884,49.458535,5,1219,1975,C,Slope,RF,Stop,Seen
SOA,16-04-11,19:54,Varecia variegata,2,20,12,240,333468,8347527,-14.941835,49.451555,4,1138,750,C,Slope,RF,Stop,Seen
SOA,18-04-11,09:50,Varecia variegata,2,16,10,200,333780,8346023,-14.955448,49.454358,3,1097,1850,D,Slope,RF,Stop,Seen
SOA,18-04-11,20:04,Varecia variegata,2,16,10,40,334264,8346494,-14.951221,49.458888,4,1147,925,D,Slope,RF,Stop,Seen
SOA,26-04-11,09:18,Varecia variegata,2,22,14,240,334143,8346820,-14.948267,49.457784,5,1162,475,D,Slope,RF,Stop,Seen
SOA,26-04-11,20:55,Varecia variegata,4,22,8,280,333719,8346043,-14.955263,49.453792,4,1086,1925,D,Slope,RF,Stop,Seen
SOA,04-05-11,08:12,Varecia variegata,2,18,12,160,333743,8346035,-14.955337,49.454015,4,1067,1900,D,Slope,RF,Stop,Seen
SOA,04-05-11,08:28,Varecia variegata,4,16,8,100,333771,8346031,-14.955375,49.454275,4,1078,1850,D,Slope,RF,Stop,Seen
SOA,08-05-11,20:00,Varecia variegata,2,16,9,280,334197,8346435,-14.95175,49.458261,4,1131,1050,D,Slope,RF,Stop,Seen
2AJB,11-12-10,20:36,Cheirogaleus major,1,15,20,260,351444,8320048,-15.191276,49.617059,4,485,75,C,Stream,RF,Stop,
2AJB,11-12-10,20:40,Cheirogaleus major,1,18,25,60,351454,8320066,-15.191114,49.617153,8,485,50,C,Stream,RF,Stop,
1MGB,26-04-11,18:24,Microcebus rufus*,1,3,5,340,337568,8306204,-15.315566,49.48702,5,679,1925,M,Valley,RF,Stop,See
1MGB,02-05-11,18:27,Microcebus rufus*,1,2,2,60,337578,8306288,-15.314807,49.487119,9,681,1850,M,Valley,RF,Jumping,See
1MGB,02-05-11,18:37,Microcebus rufus*,1,3,5,340,337670,8306286,-15.314831,49.487975,7,682,1725,M,Valley,RF,Stop,See
2MGB,28-06-12,18:19,Avahi laniger,2,8,10,100,337817,8306316,-15.314569,49.489346,3,668,1600,M,Valley,RF,Stop,See
2MGB,28-06-12,18:35,Avahi laniger,1,4,3,40,338000,8306491,-15.312999,49.491062,9,624,1375,M,Valley,RF,Stop,see
2MGB,16-07-12,18:13,Avahi laniger,1,4,6,300,340163,8305304,-15.323862,49.511128,10,400,1875,R,Valley,RF,Stop,See
3AJB,26-08-11,08:56,Eulemur albifrons,5,10,7,100,351216,8320486,-15.187304,49.614963,4,416,900,C,Valley,RF,Jumping,
3AJB,12-09-11,19:07,Eulemur albifrons,2,12,7,260,352020,8320151,-15.190378,49.622426,5,566,1475,A,Valley,RF,Stop,
3AJB,04-10-11,08:45,Varecia rubra,2,10,7,20,352508,8319442,-15.196814,49.626927,6,508,1600,R,Valley,RF,Stop and stand,
4AJB,06-08-12,20:33,Avahi laniger,1,7,7,80,351356,8320049,-15.191262,49.61624,6,494,200,C,Valley,RF,Jumping,See
4AJB,27-08-12,19:21,Avahi laniger,1,5,7,320,351234,8320497,-15.187206,49.615131,4,506,900,C,Valley,RF,Stop,see
4AJB,17-09-12,18:34,Avahi laniger,1,9,7,240,352058,8320243,-15.189548,49.622785,6,586,1700,A,Valley,RF,Stop,See
4AJB,01-10-12,19:08,Avahi laniger,1,5,7,300,351299,8320537,-15.186848,49.615739,3,274,975,C,Valley,RF,Stop,See
4AJB,04-10-12,,Avahi laniger,1,4,7,240,351294,8320133,-15.190499,49.615668,5,441,325,C,Valley,RF,stop,see
4AJB,03-09-12,18:24,Microcebus rufus,1,2,7,280,352199,8320633,-15.186031,49.624121,4,641,2200,A,Valley,RF,Stop,see
4AJB,03-10-12,20:35,Microcebus rufus,1,5,7,60,351461,8320139,-15.190454,49.617223,6,453,125,C,Valley,RF,Jumping,See
SOA,29-03-11,20:42,Avahi laniger,2,16,7,300,333129,8346022,-14.955416,49.448306,5,1023,1850,B,Valley,RF,Jumping,Seen
SOA,04-04-11,20:48,Avahi laniger,1,10,7,80,333121,8345980,-14.955795,49.448229,4,986,1825,B,Valley,RF,Stop,Seen
1MGB,26-03-11,07:25,Eulemur albifrons,2,5,na,250,338823,8306546,-15.312553,49.498729,8,616,325,M,,RF,Alarm call,Call
1MGB,26-03-11,07:26,Indri indri,5,15,na,250,338823,8306546,-15.312553,49.498729,8,616,325,M,,RF,Social call,Call
1MGB,27-03-11,09:40,Indri indri,3,20,na,90,339398,8307729,-15.301898,49.504159,3,783,1075,Z,,RF,Social call,Call
1MGB,01-04-11,10:00,Indri indri,1,20,>100,90,339326,8308170,-15.297907,49.503517,7,773,1400,Z,,RF,Alarm call,Call
1MGB,01-04-11,10:30,Indri indri,3 to 4,20,>100,100,339346,8308438,-15.295486,49.503721,9,731,1650,Z,,RF,Social call,Call
1MGB,04-04-11,08:20,Indri indri,2 to 4,20,na,60,339283,8307254,-15.306183,49.503058,6,734,450,Z,,RF,Social call,Call
1MGB,04-04-11,10:00,Indri indri,4 to 5,20,na,200,339386,8308396,-15.295869,49.50409,11,743,1575,Z,,RF,Social call,Call
1MGB,15-04-11,07:44,Indri indri,na,na,>500,230,339044,8306605,-15.312034,49.500791,7,595,50,M,,RF,Social call,Call
1MGB,15-04-11,09:01,Indri indri,na,na ,>500,220,337718,8306290,-15.314798,49.488422,5,652,1675,M,,RF,Social call,Call
1MGB,15-04-11,09:02,Indri indri,na,na,>200,220,337718,8306290,-15.314798,49.488422,5,652,1675,M,,RF,Social call,Call
1MGB,15-04-11,09:05,Indri indri,2,5,30,190,337692,8306288,-15.314814,49.48818,4,646,1700,M,,RF,Alarm call,Call
1MGB,22-04-11,09:09,Indri indri,na,na,500,220,339840,8305769,-15.319639,49.50815,4,506,1100,G,,RF,Calling,Call
1MGB,03-05-11,09:11,Indri indri,na,na,>500,300,337693,8306292,-15.314778,49.48819,4,640,1725,M,,RF,Calling,Hear
1MGB,06-05-11,08:39,Indri indri,na,na,>500,180,338150,8306416,-15.313686,49.492453,8,661,1250,M,,RF,Calling,Hear
1MGB,06-05-11,09:06,Indri indri,na,na,500,200,337566,8306214,-15.315475,49.487002,6,679,1925,M,,RF,Calling,Hear
